term	description
九届全国人大四次会议	the Fourth Session of the Ninth National People's Congress
全国人民代表大会常务委员会办公厅	the general offices of the NPC Standing Committee
人性	the nature of man
全国人民代表大会主席团	the NPC Presidium
全国人民代表大会常务委员会	the NPC Standing Committee
核供应国集团	The Nuclear Supplier Group
伯罗奔尼撒战争	the Peloponnesian War
避难权	the right to asylum
西部大开发	the strategy of developing the western region
第三世界	the third world
两大历史性课题（提高党的执政能力和领导水平、提高拒腐防变和抵御风险能力）	the two major historic subjects of enhancing the abilities of administration and art of leadership and resisting corruption, guarding against degeneration and warding off risks.
双方	the two sides, the two parties
战区导弹防御系统	theater missile defense
神权政治,政教合一Zhèngjiào hé yī	theocracy: A government based on religion and dominated by the clergy.
理论基础	theoretical foundation
理论体系	theoretical framework
霸权理论	theory of hegemony
思想库/智囊团（台）	Think tank
三等秘书	third secretary
第三世界Dì sān shìjiè	Third World Collectively, the developing nations of Asia, Africa, and Latin America, most of which were once European colonies; Third World nations tend to be poor and densely populated.
三十年战争	Thirty Years War
三通(指台湾海峡两岸实现通商，通航和通邮)	three direct links of trade , mail , and air and shipping services across the Taiwan Straits
三讲教育：讲学习，讲政治，讲正气	Three Emphases Education (to stress theoretical study, political awareness and good conduct)
三个代表	Three Represents YTheory (the Party must always represent the requirements of the development of China's advanced productive forces, the orientation of the development of China's advanced culture, and the fundamental interests of the overwhelming majority of the people in China.)
中国基督教"三自"爱国运动委员会	Three Self Patriotic Movement Committee of the Protestant Churches of China
三峡工程	Three-Gorges Project
天安門Tiān'ānmén	Tiananmen Square In 1989, unarmed civilian workers and students marched in Tiananmen Square in Beijing to demand democratic freedom and government reforms. Army troops responded with force, killing 1,500 demonstrators and wounding another 10,000.
选择投票	Ticket-splitting
就任	to assume one's post
惊悉	to be shocked to learn of
构建和谐社会	to build a harmonious society
抵抗全球经济衰退	to combat the global economic slump
表示慰问	to convey one's sympathy
发展和平友好、平等互利、长期稳定的关系	to develop relations of peace and friendship, equality and mutual benefit, and prolonged stability
发展民族经济	to develop the national economy
建立领事关系	to establish consular relations
建立大使级外交关系	to establish diplomatic relations at ambassadorial level
建立正常的国家关系	to establish normal state relations
互派大使	to exchange ambassadors
交换意见	to exchange views
表示遗憾	to express regret
宴请...	to give a banquet in honour of...
向...提出抗议	to lodge a protest with
保持中立	to maintain neutrality
向...交涉	to make representations to, to take up a (the) matter with
取长补短	to make up for each other's deficiencies
会见	to meet with
通过外交途径进行谈判	to negotiate through diplomatic channels
贩卖军火	to peddle munitions
递交国书	to present one's credentials
赴任	to proceed to take up one's post
提议为...干杯	to propose a toast to...
接见	to receive
征求...的同意	to request the consent of...
返任	to resume charge of the office, to return to one's post
恢复外交关系	to resume diplomatic relations
检阅仪仗队	to review the guard of honour
维护国家独立和主权完整	to safeguard national independence and the integrity of sovereignty
保卫国家主权和民族资源	to safeguard national sovereignty and national resources
维护世界和平	to safeguard world peace
求得公平合理的解决	to seek a fair and reasonable solution
断绝外交关系	to sever diplomatic relations
用和平手段解决争端	to solve disputes by peaceful means
中断外交关系	to suspend diplomatic relations
采取协调行动	to take concerted steps
提出异议	to take exception to; to object to
对无核区承担义务	to undertake obligations in respect of the nuclear-free zone
外交关系升格	to upgrade diplomatic relations
祝酒词	toast
东京战犯审判	Tokyo war-crimes trials
宽容	Toleration
总体战争	total war
极权主义政权	totalitarian regime
極權主義Jíquán zhǔyì	totalitarianism A political system in which every facet of the society, the economy, and thegovernment is tightly controlled by the ruling elite. Secret police ter rorism and a radical ideology implemented through mass mobilization and propaganda are hallmarks of the totalitarian state's methods and goals.
乡镇企业	township enterprises
跟踪調查Gēnzōng diàochá	tracking poll Repeated sampling of voters to assess shifts in attitudes or behavior over time.
贸易赤字	trade deficit
工会	Trade unions
传统主义	traditionalism
交易收益	transaction benefit
交流理论	transactionism
权利让渡	transferring rights
中国翻译工作者协会	Translators Association of China
西电东送	transmission of electricity from the western to the eastern region
跨国公司	transnational corporation, multinational corporation
跨國恐怖主義Kuàguó kǒngbù zhǔyì	transnational terrorism Exists when terrorist groups in different countries cooperate or when a group's terrorist actions cross national boundaries.
跨国主义	transnationalism
透明国际	Transparency International
被困的	trapped
公债	treasury bond
奥格斯堡条约	Treaty if Augsburg
威斯特伐利亚和约	Treaty of Westphalia
三角外交	triangular diplomacy
三极体系	tripolar system
杜魯門主義Dùlǔmén zhǔyì	Truman Doctrine: President Harry Truman's pledge of U.S. support for any free people threatened with revolution by an internal armed minority or an outside aggressor.
受託人理論的代表性Shòutuō rén lǐlùn de dàibiǎo xìng	trustee theory of representation: The theory that elected officials should be leaders, making informed choices in the interest of their constituencies.
托管制度	trusteeship
投票率	Turnout
监护	Tutelage
双层博弈	two-level game or two-tier game
僭主制/暴政	Tyranny
多數人暴政Duōshù rén bàozhèng	tyranny of the majority: The political situation in which a dominant group uses its control of the government to abuse the rights of minority groups.
最后通牒	ultimatum
極端民族主義Jíduān mínzú zhǔyì	ultranationalism: Extreme nationalism often associated with fascism; a militant right-wing orientation typically characterized by militarism, racial bigotry, and xenophobia.
联合国大会	UN General Assembly
無條件投降Wútiáojiàn tóuxiáng	unconditional surrender: Giving an all-but vanquished enemy a stark choice between surrendering immediately (placing itself entirely at the mercy of the victor) or being utterly destroyed.
不正当竞争	unfair competition
一院制	Unicameral
单边主义	unilateralism
單極體系Dān jí tǐxì	unipolar system: In international relations theory, the existence of a single invincible superpower; the inter national system said to have existed after the collapse of the Soviet Union left the United States as the sole remaining (and thus unrivalled) military and economic superpower on the world stage.
单极	unipolarity
單一制Dānyī zhì	unitary system: A system in which the government may choose to delegate affairs to local government.
联合国	United Nations
中国联合国协会	United Nations Association of the People's Republic of China
联合国教育科学文化组织	United Nations Educational, Scientific and Cultural Organization, UNESCO
动荡	unrest
城镇社会保障体系	urban social security system
城市化	urbanization
乌拉圭回合	Uruguay Round
功利主义哲学	utilitarian philosophy
乌托邦理论,空想社會主義Kōngxiǎng shèhuì zhǔyì	utopian socialist Individuals who believed that public ownership of property could be effectively accomplished and could solve most important political problems.
价值判断	value judgment
附庸国	vassal state
普通照会	verbal note
核查	verification
《凡尔赛条约》	Versailles Treaty
否决权	Veto
副县长	Vice County Mayor
副总理	Vice Premier
县委副书记	Vice Secretary of CPC County Committee
战胜国	victorious nation
维也纳外交关系公约	Vienna Convention on Diplomatic Relations
越南战争	Vietnam War
暴力	Violence
访问	visit
重大利益	vital interests
投票	Voting
戰爭誤解Zhànzhēng wùjiě	war by misperception: Armed conflict that results when two nations fail to perceive one another's true intentions accurately.
代理人战争	war by proxy
戰爭罪Zhànzhēng zuì	war crime: Violation of generally accepted rules of war as established in the Geneva Conventions on the conduct of war. The Geneva Conventions call for the humanitarian treatment of civilians and prisoners of war, and respect for human life and dignity; crimes against humanity, such as genocide and ethnic cleansing, are also war crimes.
反恐戰爭Fǎnkǒng zhànzhēng	war on terror: After 9/11, President George W. Bush declared a worldwide "war on terrorism" aimed at defeating international terrorist organizations, destroying terrorist training camps, and bringing terrorists themselves to justice.
戰爭權力Zhànzhēng quánlì	war powers: The U.S. Constitution gives the Congress the power to raise and support armies, to provide and maintain a navy, to make rules regulating the armed forces, and to declare war; it makes the president the commander in chief of the armed forces.
监狱长	warden
華沙條約組織Huáshā tiáoyuē zǔzhī	Warsaw Pact: A military alliance between the former Soviet Union and its satellite states, created in 1955, that established a unified military command and allowed the Soviet army to maintain large garrisons within the satellite states, ostensibly to defend them from outside attack.
加权表决	weighted voting
魏瑪共和國Wèi mǎ gònghéguó	Weimar Republic The constitutional democracy founded in Germany at the end of World War I by a constitutional convention convened in 1919 at the city of Weimar; associated with a period of political and economic turmoil, it ended when Hitler came to power in 1933.
欢迎宴会	welcoming banquet
福利國家Fúlì guójiā	welfare state: A state whose government is concerned with providing for the social welfare of its citizens and does so usually with specific public policies, such as health insurance, minimum wages, and housing subsidies.
辉格党与托利党	Whigs and Tories
贏家通吃Yíngjiā tōng chī	winner-takes-all: Electoral system in which the candidate receiving the most votes wins.
消亡的狀態Xiāowáng de zhuàngtài	withering away of the state: A Marxist category of analysis describing what happens after capitalism is overthrown, private property and social classes are abolished, and the need for coercive state power supposedly disappears.
大规模杀伤性武器	WMD, Weapons of mass destruction
妇女选举权	Women's suffrage
世界银行	World Bank
國際法庭Guójì fǎtíng	World Court: Also known as the International Court of Justice, the principal judicial organ of the United Nations; the Court hears any case brought before it by parties who voluntarily accept its jurisdiction.
世界联邦主义	world federalism
世界卫生组织	World Health Organization (WHO)
世界体系理论	world system theory
世界贸易组织	World Trade Organization (WTO)
新华通讯社	Xinhua News Agency
雅尔塔会议	Yalta Conference
杨格计划	Young Plan
零和游戏	zero-sum game
猶太复國主義Yóutài fù guó zhǔyì	Zionism The movement whose genesis was in the reestablishment, and now the support of, the Jewish national state of Israel.
政治行动委员会（美国）	Political action committee
政治局（及常务委员会）	Politburo(and Pesidium)
